emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
📤,\U0001f4e4,outbox_tray,Outbox Tray,['Outbox'],"A paper tray with an up arrow on top, as a symbol for an email outbox. Generally depicted as a white or wooden tray with a red arrow pointing upwards. Facebook's design contains paper.
May be used for various digital activity, including uploading, messaging, emailing, ordering, and sharing.
Google’s design previously featured a blue arrow and contained paper. Samsung’s arrow was previously green.
Compare 📥 Inbox Tray.

Outbox Tray was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':outbox_tray:\n(Github, Slack, Emojipedia)\n']",['📥'],"May be used for various digital activity, including uploading, messaging, emailing, ordering, and sharing.","A paper tray with an up arrow on top, as a symbol for an email outbox. Generally depicted as a white or wooden tray with a red arrow pointing upwards. Facebook's design contains paper.
May be used for various digital activity, including uploading, messaging, emailing, ordering, and sharing.
Google’s design previously featured a blue arrow and contained paper. Samsung’s arrow was previously green.
Compare 📥 Inbox Tray.","Outbox Tray was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🏎️,\U0001f3ce\ufe0f,racing_car,Racing Car,"['F1', 'Formula One']","A racing car which appears as a formula one vehicle or rally car on most platforms. Generally displayed in red.
Apple's version of this emoji features the Swift (programming language) logo on the side.

Racing Car was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.
","[':racing_car:\n(Github, Slack, Emojipedia)\n']",[],,"A racing car which appears as a formula one vehicle or rally car on most platforms. Generally displayed in red.
Apple's version of this emoji features the Swift (programming language) logo on the side.","Racing Car was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
😑,\U0001f611,expressionless_face,Expressionless Face,"['Face With Straight Mouth', 'Straight Face']","A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by 😐 Neutral Face, as if taking a moment to collect itself.
Microsoft's design previously displayed this emoji with its eyes open, while Samsung's design previously had eyebrows.

Expressionless Face was approved as part of Unicode 6.1 in 2012
and added to Emoji 1.0 in 2015.
","[':expressionless:\n(Github, Slack)\n', ':expressionless_face:\n(Emojipedia)\n']",['😐'],,"A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by 😐 Neutral Face, as if taking a moment to collect itself.
Microsoft's design previously displayed this emoji with its eyes open, while Samsung's design previously had eyebrows.","Expressionless Face was approved as part of Unicode 6.1 in 2012
and added to Emoji 1.0 in 2015."
🇴🇲,\U0001f1f4\U0001f1f2,flag-_oman,Flag: Oman,['Omani Flag'],"The flag for Oman, which may show as the letters OM on some platforms.
The Flag: Oman emoji is a flag sequence combining 🇴 Regional Indicator Symbol Letter O and 🇲 Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms.

Flag: Oman was added to Emoji 1.0 in 2015.
","[':oman:\n(Github)\n', ':flag-om:\n(Slack)\n', ':flag_oman:\n(Emojipedia)\n']",[],,"The flag for Oman, which may show as the letters OM on some platforms.
The Flag: Oman emoji is a flag sequence combining 🇴 Regional Indicator Symbol Letter O and 🇲 Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms.",Flag: Oman was added to Emoji 1.0 in 2015.
👩‍🦼,\U0001f469\u200d\U0001f9bc,woman_in_motorized_wheelchair,Woman in Motorized Wheelchair,[],"The Woman in Motorized Wheelchair emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 🦼 Motorized Wheelchair.
These display as a single emoji on supported platforms.

Woman in Motorized Wheelchair was added to Emoji 12.0 in 2019.
","[':woman_in_motorized_wheelchair:\n(Github, Slack, Emojipedia)\n']","['🦼', '👩']",,"The Woman in Motorized Wheelchair emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 🦼 Motorized Wheelchair.
These display as a single emoji on supported platforms.",Woman in Motorized Wheelchair was added to Emoji 12.0 in 2019.
😡,\U0001f621,enraged_face,Enraged Face,"['Angry Face', 'Grumpy Face', 'Mad Face', 'Red Face']","A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as 😠 Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage.
Samsung’s design previously featured a yellow face with the 💢 Anger Symbol on its forehead. Microsoft’s design previously featured a yellow face with a more hurt expression.
Not to be confused with 🙎 Person With Pouting Face. This emoji also has a cat variant, 😾 Pouting Cat Face.

Enraged Face was approved as part of Unicode 6.0 in 2010
under the name “Pouting Face”
and added to Emoji 1.0 in 2015.
","[':rage:\n(Github, Slack)\n', ':pout:\n(Github)\n', ':pouting_face:\n(Emojipedia)\n']","['😾', '💢', '🙎', '😠']","Not to be confused with 🙎 Person With Pouting Face. This emoji also has a cat variant, 😾 Pouting Cat Face.","A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as 😠 Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage.
Samsung’s design previously featured a yellow face with the 💢 Anger Symbol on its forehead. Microsoft’s design previously featured a yellow face with a more hurt expression.
Not to be confused with 🙎 Person With Pouting Face. This emoji also has a cat variant, 😾 Pouting Cat Face.","Enraged Face was approved as part of Unicode 6.0 in 2010
under the name “Pouting Face”
and added to Emoji 1.0 in 2015."
🥓,\U0001f953,bacon,Bacon,['Rashers'],"Strips of crispy, fatty, reddish-brown bacon, as fried for breakfast. Depicted as a pair on most platforms.

Bacon was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':bacon:\n(Github, Slack, Emojipedia)\n']",[],,"Strips of crispy, fatty, reddish-brown bacon, as fried for breakfast. Depicted as a pair on most platforms.","Bacon was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
👩‍❤️‍👨,\U0001f469\u200d\u2764\ufe0f\u200d\U0001f468,"couple_with_heart-_woman,_man","Couple with Heart: Woman, Man",[],"A woman and a man standing next to each other, smiling, with a love heart floating in the air between them.
The Couple with Heart: Woman, Man emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner, ❤️ Red Heart, ‍ Zero Width Joiner and 👨 Man.
These display as a single emoji on supported platforms.

Couple with Heart: Woman, Man was added to Emoji 2.0 in 2015.
","[':woman-heart-man:\n(Slack)\n', ':couple_with_heart_woman_man:\n(Github, Emojipedia)\n']","['👨', '❤️', '👩']",,"A woman and a man standing next to each other, smiling, with a love heart floating in the air between them.
The Couple with Heart: Woman, Man emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner, ❤️ Red Heart, ‍ Zero Width Joiner and 👨 Man.
These display as a single emoji on supported platforms.","Couple with Heart: Woman, Man was added to Emoji 2.0 in 2015."
🇪🇭,\U0001f1ea\U0001f1ed,flag-_western_sahara,Flag: Western Sahara,['Western Saharan Flag'],"The flag for Western Sahara, which may show as the letters EH on some platforms.
The Flag: Western Sahara emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇭 Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms.

Flag: Western Sahara was added to Emoji 1.0 in 2015.
","[':flag-eh:\n(Slack)\n', ':western_sahara:\n(Github)\n', ':flag_western_sahara:\n(Emojipedia)\n']",[],,"The flag for Western Sahara, which may show as the letters EH on some platforms.
The Flag: Western Sahara emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇭 Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms.",Flag: Western Sahara was added to Emoji 1.0 in 2015.
💁‍♀️,\U0001f481\u200d\u2640\ufe0f,woman_tipping_hand,Woman Tipping Hand,[],"A woman tipping her hand by her shoulder as if she’s carrying a tray of drinks or flipping her hair.
This emoji is commonly used to express sassiness or sarcasm.
The earlier gender-unspecified version of this emoji, 💁 Person Tipping Hand, was originally depicted as a woman across most platforms.
The Woman Tipping Hand emoji is a ZWJ sequence combining 💁 Person Tipping Hand, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.

Woman Tipping Hand was added to Emoji 4.0 in 2016.
","[':sassy_woman:\n(Github)\n', ':tipping_hand_woman:\n(Github)\n', ':woman_tipping_hand:\n(Emojipedia)\n', ':woman-tipping-hand:\n(Slack)\n']","['💁', '♀️']",,"A woman tipping her hand by her shoulder as if she’s carrying a tray of drinks or flipping her hair.
This emoji is commonly used to express sassiness or sarcasm.
The earlier gender-unspecified version of this emoji, 💁 Person Tipping Hand, was originally depicted as a woman across most platforms.
The Woman Tipping Hand emoji is a ZWJ sequence combining 💁 Person Tipping Hand, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.",Woman Tipping Hand was added to Emoji 4.0 in 2016.
🎬,\U0001f3ac,clapper_board,Clapper Board,"['Clapboard', 'Director', 'Film Slate']","A board which contains the scene name, number, and film. A person ‘claps’ the board shut at the top while saying “Action” or “Cut” to indicate the start and stop of a scene that is being filmed.
This is used to synchronise the audio of the clap with the visuals.

Clapper Board was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':clapper:\n(Github, Slack)\n', ':clapper_board:\n(Emojipedia)\n']",[],,"A board which contains the scene name, number, and film. A person ‘claps’ the board shut at the top while saying “Action” or “Cut” to indicate the start and stop of a scene that is being filmed.
This is used to synchronise the audio of the clap with the visuals.","Clapper Board was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇲🇸,\U0001f1f2\U0001f1f8,flag-_montserrat,Flag: Montserrat,['Montserratian Flag'],"The flag for Montserrat, which may show as the letters MS on some platforms.
The Flag: Montserrat emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇸 Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms.

Flag: Montserrat was added to Emoji 1.0 in 2015.
","[':flag-ms:\n(Slack)\n', ':montserrat:\n(Github)\n', ':flag_montserrat:\n(Emojipedia)\n']",[],,"The flag for Montserrat, which may show as the letters MS on some platforms.
The Flag: Montserrat emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇸 Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms.",Flag: Montserrat was added to Emoji 1.0 in 2015.
🇬🇳,\U0001f1ec\U0001f1f3,flag-_guinea,Flag: Guinea,['Guinean Flag'],"The flag for Guinea, which may show as the letters GN on some platforms.
The Flag: Guinea emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇳 Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms.

Flag: Guinea was added to Emoji 1.0 in 2015.
","[':guinea:\n(Github)\n', ':flag-gn:\n(Slack)\n', ':flag_guinea:\n(Emojipedia)\n']",[],,"The flag for Guinea, which may show as the letters GN on some platforms.
The Flag: Guinea emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇳 Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms.",Flag: Guinea was added to Emoji 1.0 in 2015.
